phi, phi0, phi_deformation, ratio phi / phi0
0.00129874, -0.08388755, 0.08518629, 0.01548189
0.00000000, -0.05824701, 0.05824701, 0.00000000
0.00837416, -0.03404156, 0.04241572, 0.24599806
0.00173760, -0.08929238, 0.09102999, 0.01945972
0.00000000, -0.06890152, 0.06890152, 0.00000000
0.00136239, -0.08559475, 0.08695714, 0.01591677
0.00000000, -0.07117323, 0.07117323, 0.00000000
0.00000000, -0.06009719, 0.06009719, 0.00000000
0.00242674, -0.09018502, 0.09261177, 0.02690851
0.00000000, -0.06983159, 0.06983159, 0.00000000
0.00000000, -0.09792963, 0.09792963, 0.00000000
0.00000000, -0.09744344, 0.09744344, 0.00000000
0.00000000, -0.06920955, 0.06920955, 0.00000000
0.00053513, -0.08459071, 0.08512584, 0.00632612
0.00611483, -0.03958753, 0.04570236, 0.15446345
0.00085342, -0.08686737, 0.08772078, 0.00982435
0.00000000, -0.07119105, 0.07119105, 0.00000000
0.00000000, -0.09795824, 0.09795824, 0.00000000
0.00143537, -0.09289221, 0.09432758, 0.01545199
0.00008843, -0.05777375, 0.05786217, 0.00153062
0.00000000, -0.07370589, 0.07370589, 0.00000000
0.00000000, -0.06222550, 0.06222550, 0.00000000
0.00207023, -0.08577416, 0.08784439, 0.02413578
0.00000000, -0.07128773, 0.07128773, 0.00000000
0.00000000, -0.07523093, 0.07523093, 0.00000000
0.00000000, -0.06049738, 0.06049738, 0.00000000
0.00309424, -0.04311392, 0.04620816, 0.07176893
0.04506223, 0.01485326, 0.03020897, 3.03382720
0.09652888, 0.07237240, 0.02415648, 1.33378031
0.08416227, 0.05893281, 0.02522947, 1.42810563
0.03719712, 0.00554796, 0.03164915, 6.70464259
0.07487024, 0.04872068, 0.02614956, 1.53672395
0.03144967, -0.00150440, 0.03295407, 20.90516414
0.06929928, 0.04253032, 0.02676895, 1.62940867
0.02829157, -0.00546095, 0.03375252, 5.18070070
0.07244743, 0.04601594, 0.02643149, 1.57439846
0.03879244, 0.00741037, 0.03138206, 5.23488426
0.08934601, 0.06454035, 0.02480566, 1.38434347
0.06144399, 0.03361180, 0.02783219, 1.82804829
0.04310838, 0.01256975, 0.03053863, 3.42953395
